,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu[1010],1.034,0.058,0.927,1.138,0.008,0.005,57.0,57.0,58.0,314.0,1.12
mu[1011],1.05,0.058,0.935,1.152,0.005,0.004,127.0,127.0,130.0,240.0,1.06
mu[1012],1.1,0.059,0.99,1.207,0.004,0.003,171.0,171.0,172.0,498.0,1.04
mu[1013],1.216,0.063,1.088,1.334,0.006,0.004,109.0,109.0,116.0,58.0,1.07
mu[1014],1.177,0.059,1.067,1.29,0.004,0.003,230.0,230.0,229.0,515.0,1.03
mu[1015],1.222,0.061,1.1,1.334,0.006,0.004,97.0,97.0,98.0,183.0,1.07
mu[1016],1.069,0.056,0.967,1.176,0.008,0.006,51.0,51.0,52.0,288.0,1.11
mu[1017],1.181,0.061,1.058,1.291,0.006,0.005,91.0,91.0,91.0,297.0,1.07
mu[1018],1.115,0.06,1.003,1.224,0.004,0.003,205.0,205.0,208.0,371.0,1.03
mu[1019],1.056,0.055,0.952,1.16,0.004,0.003,206.0,206.0,205.0,488.0,1.04
mu[1020],1.093,0.06,0.976,1.205,0.009,0.006,49.0,48.0,49.0,154.0,1.13
mu[1021],1.13,0.059,1.014,1.239,0.008,0.005,61.0,61.0,61.0,103.0,1.09
mu[1022],1.125,0.061,1.009,1.243,0.005,0.004,143.0,143.0,143.0,392.0,1.05
mu[1023],1.01,0.061,0.892,1.124,0.007,0.005,80.0,80.0,81.0,154.0,1.08
mu[1024],1.035,0.058,0.93,1.139,0.004,0.003,212.0,212.0,220.0,787.0,1.03
mu[1025],1.113,0.059,1.008,1.226,0.005,0.004,123.0,123.0,125.0,399.0,1.06
mu[1026],1.093,0.061,0.985,1.206,0.004,0.003,263.0,263.0,263.0,535.0,1.03
mu[1027],1.2,0.063,1.077,1.317,0.004,0.003,211.0,211.0,211.0,322.0,1.05
mu[1028],1.117,0.058,0.998,1.218,0.005,0.004,129.0,129.0,131.0,558.0,1.05
mu[1029],1.046,0.062,0.927,1.162,0.01,0.007,42.0,42.0,42.0,67.0,1.13
mu[1030],1.036,0.059,0.925,1.144,0.005,0.004,134.0,134.0,135.0,283.0,1.05
mu[1031],1.168,0.057,1.057,1.275,0.004,0.003,199.0,199.0,200.0,574.0,1.05
mu[1032],1.091,0.06,0.972,1.194,0.007,0.005,75.0,75.0,77.0,270.0,1.09
mu[1033],1.119,0.066,0.987,1.237,0.012,0.009,28.0,27.0,28.0,69.0,1.2
mu[1034],1.085,0.061,0.969,1.198,0.006,0.004,106.0,106.0,103.0,49.0,1.09
mu[1035],1.116,0.058,1.007,1.225,0.004,0.003,237.0,237.0,234.0,540.0,1.04
mu[1036],1.035,0.057,0.929,1.143,0.004,0.003,178.0,178.0,179.0,361.0,1.03
mu[1037],1.066,0.058,0.957,1.176,0.007,0.005,62.0,62.0,67.0,144.0,1.09
mu[1038],1.057,0.054,0.952,1.159,0.006,0.004,82.0,82.0,78.0,132.0,1.08
mu[1039],1.063,0.057,0.955,1.172,0.006,0.004,88.0,88.0,87.0,318.0,1.07
mu[1040],1.086,0.059,0.976,1.199,0.004,0.003,237.0,237.0,239.0,457.0,1.03
mu[1041],1.034,0.066,0.911,1.157,0.011,0.008,37.0,37.0,38.0,56.0,1.15
mu[1042],1.035,0.057,0.924,1.135,0.005,0.004,111.0,110.0,111.0,225.0,1.07
mu[1043],1.027,0.057,0.923,1.135,0.004,0.003,202.0,202.0,205.0,416.0,1.06
mu[1044],1.069,0.06,0.949,1.176,0.007,0.005,66.0,65.0,65.0,322.0,1.1
mu[1045],1.031,0.06,0.909,1.139,0.007,0.005,72.0,72.0,74.0,135.0,1.09
mu[1046],1.012,0.056,0.906,1.116,0.005,0.004,117.0,116.0,122.0,248.0,1.07
mu[1047],1.025,0.054,0.916,1.124,0.011,0.008,26.0,26.0,26.0,92.0,1.25
mu[1048],1.057,0.061,0.936,1.164,0.009,0.006,52.0,51.0,52.0,332.0,1.11
mu[1049],1.051,0.057,0.94,1.157,0.004,0.003,165.0,165.0,165.0,350.0,1.04
mu[1050],1.052,0.056,0.947,1.159,0.003,0.002,285.0,285.0,284.0,534.0,1.02
mu[1051],1.021,0.06,0.911,1.131,0.01,0.007,39.0,39.0,38.0,109.0,1.15
mu[1052],1.045,0.058,0.933,1.15,0.005,0.003,143.0,141.0,147.0,323.0,1.05
mu[1053],1.027,0.061,0.914,1.144,0.007,0.005,66.0,66.0,66.0,260.0,1.11
mu[1054],1.126,0.058,1.015,1.231,0.004,0.003,171.0,171.0,170.0,314.0,1.05
mu[1055],1.158,0.06,1.044,1.26,0.007,0.005,72.0,72.0,72.0,524.0,1.08
mu[1056],1.056,0.056,0.948,1.157,0.004,0.003,160.0,156.0,161.0,240.0,1.04
mu[1057],1.038,0.059,0.927,1.149,0.007,0.005,81.0,81.0,82.0,290.0,1.08
mu[1058],1.01,0.059,0.892,1.116,0.008,0.005,62.0,61.0,61.0,139.0,1.12
mu[1059],1.125,0.057,1.025,1.228,0.008,0.005,56.0,56.0,57.0,316.0,1.1
mu[1060],1.004,0.054,0.903,1.107,0.003,0.002,276.0,276.0,275.0,470.0,1.03
mu[1061],1.389,0.061,1.283,1.5,0.008,0.006,54.0,54.0,54.0,496.0,1.11
mu[1062],1.429,0.068,1.301,1.561,0.008,0.006,69.0,67.0,73.0,117.0,1.1
mu[1063],1.056,0.054,0.954,1.158,0.005,0.004,108.0,101.0,113.0,247.0,1.07
mu[1064],1.067,0.062,0.951,1.179,0.007,0.005,77.0,77.0,79.0,211.0,1.08
mu[1065],1.044,0.06,0.93,1.157,0.005,0.004,144.0,144.0,144.0,317.0,1.04
mu[1066],1.075,0.06,0.962,1.187,0.006,0.004,113.0,113.0,113.0,357.0,1.06
mu[1067],1.022,0.058,0.917,1.133,0.004,0.003,221.0,220.0,223.0,435.0,1.05
mu[1068],1.122,0.063,1.001,1.24,0.009,0.006,52.0,51.0,51.0,132.0,1.11
mu[1069],1.052,0.056,0.941,1.152,0.004,0.003,195.0,195.0,196.0,320.0,1.03
mu[1070],1.235,0.064,1.12,1.358,0.006,0.004,103.0,103.0,99.0,339.0,1.07
mu[1071],1.044,0.058,0.928,1.151,0.006,0.004,98.0,95.0,97.0,209.0,1.06
mu[1072],1.233,0.06,1.122,1.346,0.006,0.004,97.0,97.0,99.0,417.0,1.07
mu[1073],1.455,0.062,1.34,1.567,0.006,0.004,114.0,113.0,115.0,239.0,1.06
mu[1074],1.119,0.058,1.009,1.231,0.006,0.004,97.0,97.0,104.0,53.0,1.07
mu[1075],1.045,0.058,0.933,1.152,0.005,0.004,136.0,136.0,137.0,164.0,1.05
mu[1076],1.06,0.053,0.967,1.16,0.006,0.004,84.0,83.0,85.0,403.0,1.08
mu[1077],1.076,0.058,0.972,1.187,0.005,0.004,120.0,118.0,121.0,336.0,1.07
mu[1078],1.043,0.061,0.935,1.16,0.007,0.005,78.0,78.0,80.0,303.0,1.08
mu[1079],1.277,0.061,1.163,1.387,0.004,0.003,246.0,246.0,251.0,937.0,1.03
mu[1080],1.074,0.056,0.97,1.182,0.007,0.005,57.0,57.0,57.0,288.0,1.1
mu[1081],1.083,0.061,0.975,1.199,0.004,0.003,215.0,215.0,215.0,532.0,1.04
mu[1082],1.05,0.057,0.938,1.153,0.005,0.003,148.0,148.0,142.0,405.0,1.06
mu[1083],1.088,0.059,0.976,1.196,0.006,0.004,107.0,107.0,111.0,368.0,1.06
mu[1084],1.418,0.068,1.292,1.543,0.009,0.006,62.0,61.0,62.0,158.0,1.09
mu[1085],1.05,0.058,0.941,1.158,0.004,0.003,185.0,185.0,187.0,544.0,1.03
mu[1086],1.045,0.055,0.946,1.149,0.004,0.003,221.0,221.0,223.0,598.0,1.03
mu[1087],1.526,0.062,1.402,1.64,0.003,0.002,374.0,374.0,375.0,724.0,1.01
mu[1088],1.153,0.056,1.035,1.246,0.007,0.005,65.0,65.0,64.0,319.0,1.11
mu[1089],1.12,0.061,1.005,1.235,0.007,0.005,85.0,85.0,85.0,110.0,1.06
mu[1090],1.189,0.064,1.074,1.313,0.005,0.004,156.0,156.0,157.0,419.0,1.07
mu[1091],1.071,0.06,0.959,1.179,0.006,0.004,94.0,94.0,96.0,512.0,1.07
mu[1092],1.113,0.057,1.008,1.226,0.005,0.004,131.0,130.0,130.0,416.0,1.07
mu[1093],1.047,0.059,0.936,1.155,0.005,0.003,157.0,156.0,160.0,222.0,1.05
mu[1094],1.037,0.063,0.921,1.156,0.007,0.005,81.0,76.0,87.0,91.0,1.09
mu[1095],1.045,0.057,0.941,1.151,0.008,0.006,54.0,52.0,56.0,217.0,1.11
mu[1096],1.089,0.063,0.974,1.21,0.006,0.004,102.0,101.0,105.0,298.0,1.06
mu[1097],1.072,0.058,0.966,1.181,0.005,0.003,147.0,147.0,146.0,242.0,1.05
mu[1098],1.018,0.056,0.917,1.127,0.005,0.003,129.0,129.0,128.0,350.0,1.05
mu[1099],1.031,0.058,0.926,1.142,0.007,0.005,77.0,77.0,76.0,254.0,1.09
mu[1100],1.051,0.06,0.941,1.161,0.005,0.003,158.0,157.0,159.0,376.0,1.05
mu[1101],1.165,0.06,1.052,1.274,0.008,0.006,51.0,51.0,52.0,565.0,1.12
mu[1102],1.188,0.063,1.083,1.31,0.01,0.007,37.0,37.0,37.0,265.0,1.16
mu[1103],1.054,0.058,0.948,1.169,0.005,0.004,130.0,123.0,140.0,124.0,1.06
mu[1104],1.049,0.057,0.939,1.153,0.006,0.004,84.0,84.0,83.0,299.0,1.08
mu[1105],1.021,0.058,0.908,1.124,0.009,0.007,37.0,37.0,39.0,53.0,1.15
mu[1106],1.305,0.056,1.195,1.402,0.005,0.003,129.0,129.0,128.0,435.0,1.06
mu[1107],1.024,0.055,0.916,1.127,0.004,0.003,159.0,159.0,161.0,217.0,1.05
mu[1108],1.069,0.066,0.947,1.193,0.013,0.009,28.0,28.0,29.0,30.0,1.2
mu[1109],1.666,0.068,1.546,1.793,0.008,0.006,76.0,76.0,75.0,373.0,1.09
mu[1110],1.022,0.06,0.909,1.132,0.006,0.004,94.0,94.0,94.0,252.0,1.06
mu[1111],1.094,0.061,0.982,1.209,0.005,0.003,162.0,162.0,163.0,310.0,1.04
mu[1112],1.035,0.064,0.915,1.153,0.006,0.004,107.0,107.0,104.0,109.0,1.08
mu[1113],1.168,0.065,1.052,1.285,0.01,0.007,41.0,41.0,41.0,148.0,1.14
mu[1114],1.138,0.059,1.032,1.252,0.007,0.005,72.0,72.0,73.0,390.0,1.08
mu[1115],1.037,0.055,0.93,1.138,0.004,0.003,165.0,164.0,165.0,397.0,1.03
mu[1116],1.477,0.062,1.361,1.601,0.005,0.003,170.0,170.0,171.0,404.0,1.05
mu[1117],1.048,0.058,0.939,1.154,0.005,0.003,155.0,155.0,156.0,445.0,1.04
mu[1118],1.023,0.058,0.915,1.129,0.006,0.004,99.0,99.0,98.0,317.0,1.08
mu[1119],1.029,0.053,0.919,1.121,0.008,0.006,45.0,45.0,45.0,163.0,1.14
mu[1120],1.043,0.058,0.943,1.161,0.004,0.003,186.0,186.0,186.0,393.0,1.04
mu[1121],1.011,0.058,0.897,1.114,0.006,0.005,80.0,80.0,80.0,175.0,1.07
mu[1122],1.094,0.06,0.987,1.207,0.004,0.003,215.0,214.0,216.0,454.0,1.02
mu[1123],1.127,0.063,1.011,1.239,0.012,0.009,28.0,27.0,28.0,98.0,1.2
mu[1124],1.057,0.062,0.949,1.176,0.006,0.004,125.0,124.0,126.0,279.0,1.04
mu[1125],1.103,0.059,0.994,1.214,0.009,0.007,40.0,40.0,41.0,178.0,1.14
mu[1126],1.056,0.059,0.952,1.172,0.005,0.004,132.0,132.0,132.0,303.0,1.05
mu[1127],1.071,0.059,0.96,1.185,0.008,0.005,61.0,59.0,64.0,92.0,1.09
mu[1128],1.108,0.061,0.988,1.218,0.008,0.006,53.0,53.0,54.0,129.0,1.1
mu[1129],1.112,0.062,0.989,1.226,0.006,0.004,120.0,119.0,112.0,337.0,1.07
mu[1130],1.075,0.057,0.965,1.182,0.004,0.003,201.0,201.0,201.0,315.0,1.02
mu[1131],1.198,0.059,1.086,1.308,0.005,0.004,124.0,123.0,125.0,319.0,1.05
mu[1132],1.033,0.057,0.926,1.137,0.007,0.005,62.0,62.0,62.0,392.0,1.09
mu[1133],1.026,0.055,0.916,1.124,0.004,0.003,151.0,149.0,151.0,231.0,1.05
mu[1134],1.04,0.056,0.938,1.15,0.009,0.006,42.0,42.0,42.0,175.0,1.14
mu[1135],1.035,0.06,0.919,1.145,0.008,0.006,56.0,56.0,56.0,128.0,1.1
mu[1136],1.119,0.059,1.006,1.228,0.004,0.003,219.0,219.0,218.0,539.0,1.03
mu[1137],1.042,0.057,0.93,1.149,0.006,0.005,79.0,79.0,76.0,62.0,1.09
mu[1138],1.07,0.06,0.953,1.18,0.005,0.004,123.0,119.0,128.0,212.0,1.07
mu[1139],1.052,0.059,0.942,1.165,0.009,0.006,43.0,43.0,49.0,28.0,1.13
mu[1140],1.065,0.055,0.961,1.167,0.004,0.003,193.0,192.0,192.0,579.0,1.04
mu[1141],1.385,0.062,1.266,1.497,0.008,0.006,64.0,64.0,64.0,349.0,1.1
mu[1142],1.053,0.057,0.953,1.165,0.005,0.004,114.0,113.0,114.0,337.0,1.06
mu[1143],1.133,0.059,1.019,1.243,0.007,0.005,64.0,64.0,63.0,374.0,1.09
mu[1144],1.049,0.06,0.944,1.162,0.004,0.003,181.0,181.0,182.0,489.0,1.06
mu[1145],1.044,0.056,0.935,1.152,0.005,0.003,141.0,141.0,141.0,389.0,1.05
mu[1146],1.065,0.063,0.949,1.181,0.005,0.004,136.0,136.0,136.0,313.0,1.07
mu[1147],1.072,0.068,0.946,1.198,0.007,0.005,86.0,86.0,86.0,129.0,1.07
mu[1148],1.082,0.057,0.977,1.193,0.004,0.003,209.0,209.0,210.0,313.0,1.04
mu[1149],1.105,0.061,0.994,1.216,0.011,0.008,29.0,29.0,30.0,170.0,1.2
mu[1150],1.043,0.054,0.944,1.141,0.008,0.006,44.0,44.0,44.0,116.0,1.13
mu[1151],1.067,0.057,0.966,1.176,0.009,0.006,43.0,43.0,43.0,250.0,1.14
mu[1152],1.066,0.056,0.963,1.169,0.004,0.003,203.0,203.0,201.0,374.0,1.03
mu[1153],1.037,0.058,0.928,1.146,0.007,0.005,60.0,60.0,61.0,212.0,1.1
mu[1154],1.062,0.057,0.947,1.165,0.006,0.004,98.0,98.0,101.0,95.0,1.08
mu[1155],1.096,0.057,0.99,1.204,0.005,0.004,112.0,108.0,116.0,142.0,1.08
mu[1156],1.04,0.059,0.934,1.159,0.006,0.005,84.0,82.0,85.0,122.0,1.08
mu[1157],1.045,0.059,0.941,1.158,0.005,0.004,125.0,123.0,128.0,304.0,1.04
mu[1158],1.048,0.059,0.935,1.158,0.008,0.006,49.0,49.0,47.0,82.0,1.12
mu[1159],1.045,0.053,0.94,1.14,0.004,0.003,199.0,199.0,200.0,441.0,1.04
mu[1160],1.047,0.06,0.942,1.161,0.008,0.005,60.0,60.0,60.0,154.0,1.1
mu[1161],1.097,0.058,0.992,1.206,0.005,0.004,110.0,110.0,107.0,608.0,1.07
mu[1162],1.119,0.058,1.013,1.228,0.008,0.006,48.0,48.0,47.0,340.0,1.13
mu[1163],1.221,0.065,1.099,1.348,0.008,0.006,64.0,64.0,69.0,43.0,1.1
mu[1164],1.313,0.063,1.188,1.431,0.007,0.005,82.0,81.0,82.0,306.0,1.1
mu[1165],1.704,0.068,1.582,1.838,0.005,0.004,164.0,153.0,174.0,257.0,1.06
mu[1166],1.035,0.057,0.929,1.14,0.008,0.006,47.0,47.0,47.0,408.0,1.13
mu[1167],1.239,0.067,1.117,1.361,0.014,0.01,23.0,23.0,23.0,93.0,1.26
mu[1168],1.123,0.061,1.01,1.24,0.004,0.003,193.0,193.0,192.0,475.0,1.04
mu[1169],1.195,0.062,1.081,1.31,0.005,0.004,147.0,146.0,149.0,533.0,1.04
mu[1170],1.045,0.063,0.929,1.165,0.008,0.005,67.0,67.0,67.0,334.0,1.09
mu[1171],1.02,0.059,0.921,1.139,0.006,0.004,103.0,99.0,101.0,316.0,1.08
mu[1172],1.03,0.06,0.918,1.142,0.005,0.004,144.0,144.0,145.0,329.0,1.04
mu[1173],1.05,0.055,0.948,1.155,0.004,0.002,246.0,245.0,247.0,511.0,1.04
mu[1174],1.03,0.057,0.926,1.138,0.004,0.003,168.0,168.0,168.0,461.0,1.04
mu[1175],1.14,0.063,1.023,1.254,0.007,0.005,77.0,77.0,78.0,330.0,1.11
mu[1176],1.356,0.066,1.229,1.475,0.006,0.005,106.0,106.0,112.0,90.0,1.07
mu[1177],1.07,0.058,0.966,1.177,0.007,0.005,62.0,62.0,65.0,256.0,1.1
mu[1178],1.105,0.059,0.993,1.213,0.006,0.004,93.0,93.0,92.0,357.0,1.07
mu[1179],1.049,0.06,0.935,1.159,0.005,0.004,141.0,136.0,143.0,193.0,1.06
mu[1180],1.364,0.064,1.245,1.48,0.006,0.004,120.0,120.0,123.0,683.0,1.06
mu[1181],1.149,0.057,1.042,1.255,0.004,0.003,240.0,235.0,241.0,843.0,1.06
mu[1182],1.045,0.06,0.934,1.162,0.007,0.005,83.0,78.0,91.0,83.0,1.09
mu[1183],1.063,0.06,0.952,1.178,0.005,0.004,133.0,131.0,140.0,419.0,1.05
mu[1184],1.343,0.063,1.23,1.46,0.007,0.005,79.0,79.0,80.0,230.0,1.08
mu[1185],1.014,0.057,0.9,1.116,0.006,0.005,81.0,81.0,83.0,351.0,1.08
mu[1186],1.118,0.06,1.006,1.234,0.008,0.006,52.0,52.0,53.0,112.0,1.11
mu[1187],1.043,0.058,0.939,1.158,0.004,0.003,205.0,205.0,207.0,568.0,1.06
mu[1188],1.042,0.052,0.946,1.142,0.005,0.003,119.0,119.0,119.0,374.0,1.07
mu[1189],1.199,0.062,1.086,1.316,0.005,0.004,137.0,137.0,139.0,223.0,1.05
mu[1190],1.055,0.059,0.946,1.169,0.005,0.003,145.0,145.0,146.0,253.0,1.05
mu[1191],1.0,0.056,0.893,1.105,0.007,0.005,66.0,66.0,65.0,309.0,1.1
mu[1192],1.064,0.065,0.947,1.186,0.01,0.007,46.0,46.0,45.0,87.0,1.12
mu[1193],1.199,0.064,1.082,1.317,0.006,0.004,120.0,120.0,122.0,238.0,1.06
mu[1194],1.083,0.058,0.976,1.192,0.005,0.004,135.0,135.0,134.0,278.0,1.05
mu[1195],1.145,0.059,1.03,1.251,0.007,0.005,69.0,69.0,68.0,227.0,1.08
mu[1196],1.056,0.056,0.957,1.162,0.009,0.006,38.0,38.0,40.0,243.0,1.14
mu[1197],1.146,0.06,1.03,1.258,0.009,0.007,42.0,42.0,42.0,309.0,1.13
mu[1198],1.098,0.059,0.985,1.21,0.008,0.006,48.0,48.0,49.0,92.0,1.11
mu[1199],1.046,0.067,0.912,1.16,0.013,0.009,26.0,26.0,27.0,32.0,1.22
mu[1200],1.019,0.057,0.909,1.127,0.008,0.006,48.0,48.0,48.0,209.0,1.12
mu[1201],1.099,0.064,0.977,1.215,0.008,0.006,66.0,66.0,66.0,339.0,1.09
mu[1202],1.055,0.06,0.948,1.172,0.004,0.003,189.0,189.0,186.0,474.0,1.05
mu[1203],1.045,0.058,0.936,1.155,0.005,0.004,121.0,120.0,119.0,434.0,1.06
mu[1204],1.18,0.06,1.063,1.293,0.004,0.003,180.0,180.0,180.0,394.0,1.04
mu[1205],1.095,0.066,0.966,1.213,0.011,0.008,35.0,35.0,36.0,52.0,1.16
mu[1206],1.069,0.057,0.96,1.173,0.007,0.005,59.0,59.0,59.0,154.0,1.1
mu[1207],1.035,0.061,0.92,1.143,0.004,0.003,182.0,182.0,182.0,444.0,1.04
mu[1208],1.061,0.06,0.947,1.179,0.006,0.005,93.0,88.0,99.0,116.0,1.07
mu[1209],1.124,0.057,1.016,1.227,0.006,0.004,97.0,97.0,96.0,234.0,1.06
mu[1210],1.046,0.055,0.944,1.153,0.003,0.002,265.0,265.0,267.0,378.0,1.03
mu[1211],1.172,0.057,1.068,1.281,0.004,0.003,171.0,170.0,172.0,328.0,1.05
mu[1212],1.657,0.068,1.527,1.786,0.005,0.004,181.0,181.0,181.0,301.0,1.04
mu[1213],1.166,0.062,1.052,1.281,0.006,0.004,103.0,103.0,106.0,395.0,1.07
mu[1214],1.047,0.06,0.941,1.167,0.008,0.005,64.0,63.0,64.0,261.0,1.09
mu[1215],1.065,0.052,0.971,1.169,0.006,0.004,76.0,76.0,80.0,111.0,1.09
mu[1216],1.081,0.058,0.973,1.186,0.005,0.004,115.0,115.0,121.0,276.0,1.06
mu[1217],1.11,0.057,0.999,1.217,0.004,0.003,183.0,183.0,183.0,358.0,1.04
mu[1218],1.019,0.059,0.906,1.125,0.004,0.003,171.0,171.0,172.0,350.0,1.05
mu[1219],1.188,0.068,1.056,1.317,0.009,0.007,52.0,52.0,52.0,64.0,1.13
mu[1220],1.06,0.06,0.953,1.174,0.01,0.007,39.0,38.0,40.0,308.0,1.14
mu[1221],1.022,0.055,0.921,1.128,0.007,0.005,69.0,69.0,69.0,292.0,1.1
mu[1222],1.022,0.058,0.913,1.123,0.005,0.003,161.0,161.0,161.0,547.0,1.04
mu[1223],1.134,0.062,1.017,1.254,0.004,0.003,234.0,232.0,235.0,320.0,1.04
mu[1224],1.098,0.06,0.989,1.213,0.006,0.004,105.0,105.0,105.0,205.0,1.06
mu[1225],1.049,0.065,0.926,1.161,0.008,0.006,62.0,62.0,62.0,165.0,1.12
mu[1226],1.049,0.057,0.936,1.151,0.006,0.004,102.0,102.0,104.0,332.0,1.06
mu[1227],1.056,0.06,0.94,1.166,0.011,0.008,32.0,32.0,33.0,195.0,1.19
mu[1228],1.153,0.059,1.042,1.264,0.005,0.004,119.0,117.0,120.0,298.0,1.07
mu[1229],1.173,0.058,1.067,1.286,0.007,0.005,73.0,73.0,71.0,321.0,1.08
mu[1230],1.275,0.06,1.164,1.392,0.005,0.003,167.0,166.0,168.0,378.0,1.04
mu[1231],1.03,0.059,0.925,1.145,0.006,0.004,91.0,90.0,90.0,275.0,1.07
mu[1232],1.058,0.06,0.95,1.172,0.007,0.005,83.0,81.0,84.0,338.0,1.07
mu[1233],1.081,0.06,0.967,1.193,0.007,0.005,79.0,79.0,76.0,143.0,1.07
mu[1234],1.178,0.06,1.068,1.291,0.004,0.003,178.0,178.0,178.0,404.0,1.04
mu[1235],1.074,0.058,0.959,1.181,0.008,0.006,46.0,45.0,48.0,137.0,1.12
mu[1236],1.02,0.058,0.908,1.128,0.004,0.003,170.0,169.0,172.0,320.0,1.03
mu[1237],1.068,0.061,0.962,1.182,0.008,0.006,58.0,58.0,56.0,194.0,1.11
mu[1238],1.051,0.057,0.942,1.156,0.005,0.004,106.0,106.0,107.0,550.0,1.06
mu[1239],1.188,0.058,1.073,1.288,0.007,0.005,73.0,73.0,73.0,240.0,1.09
mu[1240],1.023,0.058,0.916,1.128,0.007,0.005,72.0,72.0,74.0,428.0,1.08
mu[1241],1.038,0.061,0.927,1.159,0.008,0.005,66.0,66.0,67.0,209.0,1.09
mu[1242],1.028,0.057,0.917,1.134,0.006,0.004,101.0,101.0,102.0,356.0,1.06
mu[1243],1.14,0.061,1.023,1.253,0.004,0.003,187.0,186.0,187.0,479.0,1.05
mu[1244],1.168,0.057,1.067,1.279,0.004,0.003,259.0,258.0,258.0,504.0,1.02
mu[1245],1.013,0.053,0.909,1.113,0.006,0.004,70.0,69.0,70.0,134.0,1.08
mu[1246],1.304,0.066,1.178,1.426,0.009,0.007,48.0,48.0,48.0,272.0,1.12
mu[1247],1.087,0.052,0.994,1.188,0.007,0.005,49.0,49.0,49.0,265.0,1.12
mu[1248],1.038,0.057,0.925,1.141,0.006,0.004,104.0,104.0,107.0,138.0,1.08
mu[1249],1.138,0.061,1.03,1.255,0.01,0.007,39.0,39.0,39.0,183.0,1.14
mu[1250],1.177,0.063,1.06,1.293,0.005,0.003,187.0,186.0,188.0,462.0,1.07
mu[1251],1.026,0.058,0.921,1.136,0.008,0.006,54.0,54.0,53.0,203.0,1.11
mu[1252],1.088,0.06,0.973,1.201,0.005,0.004,129.0,129.0,127.0,267.0,1.06
mu[1253],1.095,0.059,0.983,1.203,0.004,0.003,172.0,171.0,172.0,473.0,1.04
mu[1254],1.038,0.055,0.931,1.137,0.003,0.002,247.0,247.0,247.0,477.0,1.01
mu[1255],1.073,0.059,0.969,1.186,0.008,0.006,55.0,55.0,53.0,219.0,1.12
mu[1256],1.145,0.059,1.037,1.266,0.008,0.006,52.0,49.0,53.0,80.0,1.12
mu[1257],1.046,0.056,0.947,1.151,0.005,0.004,104.0,104.0,102.0,226.0,1.08
mu[1258],1.246,0.06,1.134,1.356,0.008,0.006,54.0,52.0,53.0,233.0,1.13
mu[1259],1.035,0.058,0.925,1.148,0.005,0.004,137.0,136.0,138.0,228.0,1.06
mu[1260],1.127,0.06,1.014,1.237,0.008,0.006,59.0,59.0,60.0,301.0,1.1
mu[1261],1.039,0.055,0.929,1.135,0.004,0.003,158.0,158.0,159.0,253.0,1.04
mu[1262],1.039,0.055,0.936,1.143,0.007,0.005,68.0,68.0,67.0,171.0,1.09
mu[1263],1.05,0.056,0.937,1.152,0.007,0.005,59.0,59.0,60.0,215.0,1.11
mu[1264],1.123,0.064,1.001,1.239,0.009,0.006,49.0,49.0,50.0,197.0,1.11
mu[1265],1.148,0.064,1.029,1.265,0.007,0.005,92.0,92.0,91.0,377.0,1.08
mu[1266],1.446,0.067,1.318,1.57,0.008,0.006,71.0,71.0,71.0,268.0,1.09
mu[1267],1.199,0.06,1.086,1.305,0.01,0.007,37.0,37.0,37.0,72.0,1.17
mu[1268],1.037,0.057,0.93,1.143,0.006,0.004,87.0,87.0,88.0,179.0,1.09
mu[1269],1.003,0.058,0.898,1.118,0.008,0.006,55.0,55.0,55.0,192.0,1.11
mu[1270],1.058,0.053,0.963,1.159,0.005,0.003,118.0,118.0,117.0,365.0,1.08
mu[1271],1.031,0.062,0.917,1.15,0.008,0.005,66.0,65.0,66.0,251.0,1.09
mu[1272],1.201,0.058,1.09,1.301,0.008,0.006,46.0,46.0,53.0,51.0,1.11
mu[1273],1.184,0.058,1.073,1.293,0.004,0.003,181.0,181.0,182.0,311.0,1.05
mu[1274],1.14,0.065,1.02,1.259,0.008,0.005,74.0,73.0,75.0,371.0,1.1
mu[1275],1.142,0.061,1.029,1.253,0.004,0.003,204.0,201.0,205.0,494.0,1.05
mu[1276],1.121,0.056,1.016,1.223,0.007,0.005,63.0,63.0,63.0,290.0,1.11
mu[1277],1.045,0.061,0.94,1.165,0.007,0.005,86.0,84.0,88.0,265.0,1.08
mu[1278],1.039,0.058,0.936,1.155,0.004,0.003,169.0,169.0,169.0,376.0,1.03
mu[1279],1.054,0.059,0.945,1.165,0.004,0.003,177.0,177.0,176.0,314.0,1.03
mu[1280],1.101,0.06,0.988,1.216,0.005,0.004,125.0,123.0,132.0,371.0,1.06
mu[1281],1.176,0.057,1.065,1.278,0.005,0.004,117.0,117.0,117.0,400.0,1.07
mu[1282],1.071,0.064,0.956,1.201,0.009,0.006,49.0,49.0,50.0,113.0,1.11
mu[1283],1.081,0.056,0.975,1.187,0.005,0.004,129.0,126.0,132.0,287.0,1.05
mu[1284],1.092,0.057,0.977,1.193,0.006,0.005,81.0,81.0,87.0,144.0,1.09
mu[1285],1.052,0.059,0.944,1.169,0.004,0.003,170.0,170.0,187.0,86.0,1.06
mu[1286],1.06,0.057,0.959,1.167,0.008,0.006,46.0,46.0,47.0,209.0,1.12
mu[1287],1.094,0.057,0.984,1.196,0.004,0.003,172.0,172.0,172.0,476.0,1.04
